설치장소(도로명),경도,위도
서대문구 증가로20길34,126.9176976,37.5809034
서대문구 증가로20길7-2,126.9162971,37.5806653
서대문구 증가로24가길33-16,126.9180741,37.5822674
서대문구 증가로12나길105,126.9196713,37.5829938
서대문구 증가로12나길98,126.9200696,37.5828533
서대문구 증가로20가길73-3,126.9203183,37.5820987
서대문구 증가로20나길19-1,126.9196208,37.581786
서대문구 증가로20길68-10,126.9192915,37.5818551
서대문구 가좌로7라길50,126.9180596,37.5832674
서대문구 증가로24나길12,126.9161937,37.5815564
서대문구 증가로24나길44,126.9157142,37.5826062
서대문구 증가로24나길24-11,126.9161392,37.5821866
서대문구 증가로226-1,126.9141959,37.5819074
서대문구 증가로28길18-2,126.9146995,37.5823175
서대문구 증가로28안길40,126.9149643,37.5835724
서대문구 명지대1라길21,126.9226336,37.5817054
서대문구 독립문로 12,126.9590536,37.5704719
서대문구 독립문로 22-4,126.9605894,37.5699268
서대문구 독립문로8길 54,126.9584671,37.5670699
서대문구 독립문로10길 8-1,126.961074,37.5684534
서대문구 독립문로10길 19,126.9608755,37.5680732
서대문구 독립문로 62,126.9636448,37.5675479
서대문구 독립문로 27,126.9613185,37.5695999
서대문구 통일로9길 11,126.9644111,37.566978
서대문구 성산로 704,126.9601358,37.5716168
서대문구 신촌로29길14,126.9522149,37.5576438
서대문구 신촌로33길6,126.9544993,37.5577722
서대문구 북아현로14,126.9566366,37.5587191
서대문구 북아현로4길8,126.9570944,37.5591647
서대문구 북아현로2안길12,126.9567935,37.5580177
서대문구 북아현로4라길15,126.9583374,37.5584999
서대문구 신촌로37길39-16,126.9590144,37.55865
서대문구 북아현로4가길17-22,126.9587471,37.5591522
서대문구 북아현로4가길10,126.9583181,37.5590764
서대문구 북아현로4길23-5,126.9576655,37.5596112
서대문구 북아현로4길29,126.9580139,37.5597855
서대문구 북아현로4길41-2,126.9586893,37.5600528
서대문구 북아현로4마길28-57,126.9607191,37.5597823
서대문구 북아현로4마길42-7,126.9606532,37.5604485
서대문구 북아현로4아길8,126.9594296,37.5605368
서대문구 북아현로4자길16,126.9596805,37.5612148
서대문구 북아현로4자길27옆,126.9591311,37.5616515
서대문구 북아현로6길78,126.9588341,37.5610362
서대문구 북아현로6길87,126.9583682,37.5611672
서대문구 북아현로6길65-12,126.9583625,37.5607617
서대문구 북아현로6길67,126.9585034,37.5603935
서대문구 북아현로6길51,126.9577492,37.5600985
서대문구 북아현로6길19-13,126.9573715,37.5612125
서대문구 북아현로4가길 35-10,126.9598624,37.5587116
서대문구 성산로400,126.9321389,37.5614375
서대문구 신촌로9길 37-10,126.9325727,37.5588014
서대문구 성산로22길4,126.9333423,37.5603941
서대문구 성산로22길24-12,126.9335516,37.5599996
서대문구 성산로22길36,126.9342749,37.5592853
서대문구 신촌로 1안길 20,126.9298107,37.5604072
서대문구 신촌로11길33,126.9332836,37.558159
서대문구 신촌로7길 50-7,126.9330103,37.5590666
서대문구 신촌로11길11-46,126.9326493,37.5573964
서대문구 신촌로3가길21,126.9301702,37.558221
서대문구 신촌로3나길7-36,126.9303147,37.5591954
서대문구 신촌로3나길10,126.9299926,37.558769
서대문구 연희로2길63,126.9281104,37.5590042
서대문구 연희로2길55,126.9282424,37.5592667
서대문구 연희로2안길7-22,126.9274774,37.5597373
서대문구 연희로2길6,126.9270559,37.5607156
